date, timestamp, heart rate
2019-06-13 13:47:42 +0000, 00:08:37, 102
2019-06-13 13:47:43 +0000, 00:08:38, 102
2019-06-13 13:47:44 +0000, 00:08:39, 99
2019-06-13 13:47:45 +0000, 00:08:40, 100
2019-06-13 13:47:46 +0000, 00:08:41, 133
2019-06-13 13:47:47 +0000, 00:08:42, 154
2019-06-13 13:47:48 +0000, 00:08:43, 156
2019-06-13 13:47:49 +0000, 00:08:44, 153
2019-06-13 13:47:50 +0000, 00:08:45, 152
2019-06-13 13:47:51 +0000, 00:08:46, 151
2019-06-13 13:47:52 +0000, 00:08:47, 150
2019-06-13 13:47:53 +0000, 00:08:48, 146
2019-06-13 13:47:54 +0000, 00:08:50, 148
2019-06-13 13:47:55 +0000, 00:08:50, 200
2019-06-13 13:47:56 +0000, 00:08:51, 209
2019-06-13 13:47:57 +0000, 00:08:53, 205
2019-06-13 13:47:58 +0000, 00:08:54, 202
2019-06-13 13:47:59 +0000, 00:08:54, 200
2019-06-13 13:48:00 +0000, 00:08:55, 199
2019-06-13 13:48:01 +0000, 00:08:56, 197
2019-06-13 13:48:02 +0000, 00:08:57, 194
2019-06-13 13:48:03 +0000, 00:08:58, 186
2019-06-13 13:48:04 +0000, 00:08:59, 181
2019-06-13 13:48:05 +0000, 00:09:00, 179
2019-06-13 13:48:06 +0000, 00:09:01, 172
2019-06-13 13:48:07 +0000, 00:09:02, 153
2019-06-13 13:48:08 +0000, 00:09:03, 137
2019-06-13 13:48:09 +0000, 00:09:04, 124
2019-06-13 13:48:10 +0000, 00:09:05, 119
2019-06-13 13:48:12 +0000, 00:09:07, 121
2019-06-13 13:48:12 +0000, 00:09:08, 123
2019-06-13 13:48:13 +0000, 00:09:08, 125
2019-06-13 13:48:14 +0000, 00:09:09, 128
2019-06-13 13:48:15 +0000, 00:09:10, 131
2019-06-13 13:48:16 +0000, 00:09:11, 132
2019-06-13 13:48:17 +0000, 00:09:12, 131
2019-06-13 13:48:18 +0000, 00:09:13, 130
2019-06-13 13:48:19 +0000, 00:09:14, 129
2019-06-13 13:48:20 +0000, 00:09:15, 127
2019-06-13 13:48:21 +0000, 00:09:16, 129
2019-06-13 13:48:22 +0000, 00:09:17, 134
2019-06-13 13:48:23 +0000, 00:09:18, 138
2019-06-13 13:48:24 +0000, 00:09:19, 140
2019-06-13 13:48:25 +0000, 00:09:20, 144
2019-06-13 13:48:26 +0000, 00:09:21, 150
2019-06-13 13:48:27 +0000, 00:09:22, 153
2019-06-13 13:48:28 +0000, 00:09:23, 155
2019-06-13 13:48:29 +0000, 00:09:25, 154
